ID,Avez vous identifié un besoin interne en Data et IA pouvant améliorer votre quotidien ?,Décrivez le besoin identifié ,Avez vous identifié un besoin Data & IA chez l'un de vos clients ? Décrivez le besoin identifié ,Avez-vous pensé à des technologies ou des partenaires technologiques préférés pour réaliser votre besoin ?
5,"1. MEP des Chabots IA 
2. Intégrer l’IA pour l’analyse des offres Fournisseurs ",Je ne sais pas,"1. MEP des Chabots IA pour Automatiser les réponses aux questions des clients internes (Procédures d'achat, Etat des BC, etc.)

2. Intégrer l’IA pour l’analyse et dépouillement des offres techniques et financières des Fournisseurs avec une proposition des recommandations"
6,"Oui, On a enormement de base de données avec des informations sensible l'IA peut nous permettre d'extraire les informations voulu rapidement",Pas de client,NO
7,"Outils IA qui vont permettre de faire une veille permanente sur les trends et dernières tendances de marchés en matière d'innovation technologique. 

Outils IA qui vont permettre de générer des études de marché sur différentes thématiques avec sources fiables (réduire le temps de recherche sur les sites , Fiabiliser infos..)",X,
8,Non,Projet en attente de validation chez CGI,
9," automatiser le tri des emails et des tickets, les attribuant automatiquement aux agents compétents.",Automatiser la traduction des emails,
10,Onboarding IA,N/A,N/A
11,OPTIMISATION DES PROCESS,Automatiser le procecess contrat /lettre d'engagement /compromis de vente ,
12,NO,NO,NO
13,Aucun pour le moment,Aucun pour le moment,
14,n/a,n/a,"non , rien à signaler"
15,oui puisque c'est une niche en pleine expansion,non,non
16,"Je n'identifie pas de besoin interne spécifique en Data et IA qui nécessiterait une amélioration de mon travail quotidien. Par conséquent, cette question n'est pas applicable à ma situation",N/A,N/A
17,Non,"pour l'instant non, je suis sur un project utilisant Workday, il n'y a pas actuellement de besoin en IA ",
18,RAS pour le moment concernant ce sujet vu qu'il n y a pas vraiment de tache répétitive sur mon quotidien.,Non plus pour le moment.,RAS
19,Non,Non,
20,"Generation des reportings, et dashboard des statistiques",gestion de la Billeterie (preparation pour la coupe du monde),oui
21,on aimerai utiliser l'outil copilote de microsoft,le client CAPS souhaite intégrer à sa plateforme les nouvelles fonctionnalités de l'IA servicenow,servicenow
22,non,non ,non
23,"ça serait top si on peut, via un outil, partager oralement en langage humain ce qu'on a fait pendant la journée, et lui, il traduit en timeshteet en se badant sur un templates en entrée","1. Chatbot pour guider, assister, executer des taches et alléger le plus possible le support
2. Prédiction des tendences (performances, KPis....), classification, rooting, recommendations, detection des incidents majeurs, prévention des outages... 
3. Recherche intelligente sémantique
4.Agent virtuels (Pour détecter, diagnostiquer et executer automatiquement les taches sans ou avec une intervention humaine minime) ","Pour le besoin perso dans mon quotidien, Non
Pour les clients, ServiceNow"
24,Non,Non,
25,"Une infrastructure technologique solide pour collecter, stocker et analyser les données.
Des compétences internes ou des partenariats avec des experts en data science et en intelligence artificielle.
Une culture d'entreprise favorable à l'exploitation des données et à l'innovation","Une infrastructure technologique solide pour collecter, stocker et analyser les données.",
26,Non,Non,SAP
27,NON,NON,
28,non,non,
29,Non,Non,N//A
30,outil de consolidation des contenus des appels d'offre,NA,Non
31,"Oui proposer des solutions qui peuvent réduire le temps d'intervention humain et améliorer la productivité par exemple des chatbot pour répondre aux questions simples et récurrents, une application de gestion de la base de connaissance ou l'accès à l'information ou processus ou solution se fait par une recherche par mot clés au lieu de chercher dans les manuelles de formation, préparer des réponses type par email modifiable ....",Ce besoin existe pour l'ensemble des clients bps comme edp amdie mintra ,
32,"Utiliser l'IA pour automatiser et améliorer le processus de test de régression visuelle pour les fichiers PDF. Actuellement, les équipes QA effectue des comparaisons manuelles entre les nouveaux PDF générés et les références établies, validant à la fois le contenu textuel et les éléments visuels. Ce processus est essentiel pour identifier les défauts visuels tels que les mauvais alignements, les éléments manquants et les problèmes de rendu hors écran. ",Non pour l'instant,"Python, LLM"
33,Prevoir les volumétries en incidents.et demandes chez mes clients afin de staffer au bon moment ,Mettre en place un assistant virtuel pouvant servir les utilisateurs finaux en se basant sur l’historique des incidents et demandes dont nous disposons,Nexthink